Title,Poet,era,cap_rate,punct_rate,colon_density,concrete_abstract_ratio,adv_verb_ratio,rhyme_rate
"
                    At a Solemn Music
                ",John Milton,Pre-1800,1.0,0.5769230769230769,1.0256410256410255,0.2222222222222222,0.3636363636363636,0.088235294117647
"
Paradise Lost: Book  7 (1674 version)
                ",John Milton,Pre-1800,1.0,0.6898148148148148,2.8738025822573925,0.2836275106512477,0.3610169491525424,0.001937984496124
"
Paradise Lost: Book 12 (1674 version)
                ",John Milton,Pre-1800,0.997835497835498,0.6818181818181818,3.0984204131227218,0.2424778761061947,0.416260162601626,0.0018115942028985
"
                    On Shakespeare. 1630
                ",John Milton,Pre-1800,1.0,0.8571428571428571,0.8264462809917356,0.2291666666666666,0.2,0.1904761904761904
"
                    Sonnet 13: Harry, whose tuneful and well-measured song
",John Milton,Pre-1800,1.0,0.6111111111111112,0.8264462809917356,0.2727272727272727,0.1,0.0909090909090909
"
                    Sonnet 21: Cyriack, whose grandsire on the royal bench
",John Milton,Pre-1800,1.0,0.7857142857142857,1.8691588785046729,0.1538461538461538,0.3076923076923077,0.1428571428571428
"
                    L'Allegro
                ",John Milton,Pre-1800,0.9929577464788732,0.8661971830985915,2.111111111111111,0.4782608695652174,0.2429906542056074,0.2015810276679842
"
                    Il Penseroso
                ",John Milton,Pre-1800,1.0,0.896969696969697,1.3133208255159476,0.4273255813953488,0.2185430463576159,0.1785714285714285
"
                    Lycidas
                ",John Milton,Pre-1800,1.0,0.9161676646706588,1.9781718963165076,0.3262548262548262,0.3431372549019608,0.1618705035971223
"
                    Sonnet 15: Fairfax, whose name in arms through Europe rings
                ",John Milton,Pre-1800,1.0,0.5,2.586206896551724,0.2682926829268293,0.2727272727272727,0.1481481481481481
"
                    Sonnet 7: How soon hath Time, the subtle thief of youth
                ",John Milton,Pre-1800,1.0,0.7857142857142857,1.7543859649122806,0.1590909090909091,0.8,0.1818181818181818
"
                    Sonnet 12: I did but prompt the age to quit their clogs
",John Milton,Pre-1800,1.0,0.7142857142857143,1.694915254237288,0.2244897959183673,0.15,0.04
"
                    Sonnet 23: Methought I saw my late espoused saint
                ",John Milton,Pre-1800,1.0,0.6428571428571429,0.8403361344537815,0.4358974358974359,0.1875,0.2105263157894736
"
                    Sonnet 18: Avenge, O Lord, thy slaughter'd saints, whose bones
",John Milton,Pre-1800,1.0,0.4666666666666667,2.564102564102564,0.4242424242424242,0.2142857142857142,0.2631578947368421
"
                    Sonnet 22: Cyriack, this three years' day these eyes, though clear
",John Milton,Pre-1800,1.0,0.6,0.8547008547008548,0.5,0.4666666666666667,0.2608695652173913
"
                    Sonnet 16: Cromwell, our chief of men, who through a cloud
",John Milton,Pre-1800,1.0,0.6111111111111112,2.307692307692308,0.2083333333333333,0.4285714285714285,0.05
"
                    Sonnet 19: When I consider how my light is spent
",John Milton,Pre-1800,0.9285714285714286,0.5,2.6548672566371683,0.3243243243243243,0.3,0.08
"
                    Sonnet 10: Lawrence, of virtuous father virtuous son
                ",John Milton,Pre-1800,1.0,0.5,0.8620689655172413,0.425531914893617,0.25,0.12
"
Paradise Regain'd: Book 1 (1671 version)
                ",John Milton,Pre-1800,1.0,0.6902173913043478,2.060262683492146,0.2282303370786516,0.4039735099337748,0.0
"
Paradise Regain'd: Book 2 (1671 version)
                ",John Milton,Pre-1800,0.9975247524752476,0.7970297029702971,2.529923830250272,0.2243639167309175,0.4072072072072072,0.0059760956175298
"
Paradise Regain'd: Book 3 (1671 version)
                ",John Milton,Pre-1800,1.0,0.786144578313253,2.598187311178248,0.1727199354317998,0.4444444444444444,0.0
"
from A Ballad Upon A Wedding
                ",Sir John Suckling,Pre-1800,0.943089430894309,0.8455284552845529,3.3760186263096625,0.2926829268292683,0.4201183431952662,0.116591928251121
"
                    Song: I prithee spare me gentle boy
                ",Sir John Suckling,Pre-1800,1.0,1.0,2.054794520547945,0.2745098039215686,0.4,0.3103448275862069
"
                    Song: If you refuse me once, and think again
                ",Sir John Suckling,Pre-1800,1.0,0.8571428571428571,1.3089005235602094,0.2403100775193798,0.3066666666666666,0.1428571428571428
"
                    Song: Out upon it, I have lov’d
                ",Sir John Suckling,Pre-1800,1.0,0.7058823529411765,2.197802197802198,0.2222222222222222,0.2,0.1785714285714285
"
                    Song: Why so pale and wan fond lover?
                ",Sir John Suckling,Pre-1800,1.0,1.0,2.5974025974025974,0.1304347826086956,0.6470588235294118,0.074074074074074
"
                    Sonnet 1: Dost see how unregarded now
                ",Sir John Suckling,Pre-1800,1.0,0.8,3.076923076923077,0.2156862745098039,0.48,0.1081081081081081
"
                    A Supplement of an Imperfect Copy of Verses of Mr. William Shakespear’s, by the Author
                ",Sir John Suckling,Pre-1800,1.0,0.782608695652174,1.4354066985645932,0.3380281690140845,0.2972972972972973,0.1860465116279069
"
                    Sonnet II: Of thee, kind boy, I ask no red and white
                ",Sir John Suckling,Pre-1800,1.0,0.8181818181818182,5.194805194805195,0.3018867924528302,0.3703703703703703,0.1707317073170731
"
                    No Platonic Love
                ",William Cartwright,Pre-1800,1.0,0.8333333333333334,3.5294117647058822,0.2028985507246377,0.2682926829268293,0.2222222222222222
"
                    The Author to Her Book
                ",Anne Bradstreet,Pre-1800,1.0,1.0,2.4271844660194173,0.375,0.4047619047619047,0.1794871794871795
"
                    By Night when Others Soundly Slept
                ",Anne Bradstreet,Pre-1800,0.9230769230769232,0.6923076923076923,0.8620689655172413,0.2727272727272727,0.3333333333333333,0.0434782608695652
"
                    Contemplations
                ",Anne Bradstreet,Pre-1800,0.9947368421052633,0.9210526315789472,1.1910926980838945,0.2965964343598055,0.3789473684210526,0.2050473186119873
"
                    A Dialogue between Old England and New
                ",Anne Bradstreet,Pre-1800,1.0,0.9206896551724136,0.8399832003359933,0.2940397350993377,0.2945205479452055,0.162426614481409
"
                    The Four Ages of Man
                ",Anne Bradstreet,Pre-1800,0.9956803455723542,0.9481641468682506,1.7647058823529411,0.3177648040033361,0.3629283489096573,0.1578282828282828
"
                    A Letter to her Husband, absent upon Publick employment
                ",Anne Bradstreet,Pre-1800,1.0,0.8518518518518519,2.314814814814815,0.5409836065573771,0.896551724137931,0.1702127659574468
"
                    The Microcosm
                ",Giovanni Battista Guarini,Pre-1800,1.0,0.8,1.639344262295082,0.6875,0.25,0.2
"
                    To Her Father with Some Verses
                ",Anne Bradstreet,Pre-1800,1.0,0.9333333333333332,2.5210084033613445,0.1627906976744186,0.3636363636363636,0.2592592592592592
"
                    In Honour of that High and Mighty Princess, Queen Elizabeth
                ",Anne Bradstreet,Pre-1800,1.0,0.9821428571428572,1.0526315789473684,0.300632911392405,0.4382716049382716,0.1778846153846154
"
                    In Reference to her Children, 23 June 1659
                ",Anne Bradstreet,Pre-1800,1.0,0.7093023255813954,0.453857791225416,0.3897435897435897,0.2878787878787879,0.1835443037974683
"
                    Prologue
                ",Anne Bradstreet,Pre-1800,1.0,0.9555555555555556,1.0230179028132993,0.3700787401574803,0.3150684931506849,0.1566265060240964
"
                    Verses upon the Burning of our House, July 10th, 1666
                ",Anne Bradstreet,Pre-1800,1.0,0.8,0.5235602094240838,0.4210526315789473,0.4102564102564102,0.1789473684210526
"
                    But Men Loved Darkness rather than Light
                ",Richard Crashaw,Pre-1800,1.0,1.0,0.0,0.3636363636363636,1.0,0.4
"
                    Divine Epigrams: On the Baptized Ethiopian
                ",Richard Crashaw,Pre-1800,1.0,0.7142857142857143,5.128205128205128,0.3571428571428571,0.4444444444444444,0.25
"
                    Divine Epigrams: On the Miracle of the Multiplied Loaves
                ",Richard Crashaw,Pre-1800,1.0,1.0,3.125,0.6,0.375,0.2857142857142857
"
                    Divine Epigrams: Samson to his Delilah
                ",Richard Crashaw,Pre-1800,1.0,1.0,0.0,0.5,0.5,0.0
"
                    Divine Epigrams: To our Lord, upon the Water Made Wine
                ",Richard Crashaw,Pre-1800,1.0,1.0,0.0,0.4666666666666667,1.0,0.4
"
                    The Flaming Heart
                ",Richard Crashaw,Pre-1800,0.9411764705882352,0.8823529411764706,1.8115942028985508,0.3855421686746988,0.25,0.2407407407407407
"
                    In the Holy Nativity of our Lord
                ",Richard Crashaw,Pre-1800,0.9924812030075189,0.7218045112781954,2.060606060606061,0.6,0.2684563758389262,0.2115384615384615
"
                    On Mr. G. Herbert's Book
                ",Richard Crashaw,Pre-1800,1.0,0.7777777777777778,0.9009009009009008,0.3939393939393939,0.1428571428571428,0.1818181818181818
"
                    Wishes to his (Supposed) Mistress
                ",Richard Crashaw,Pre-1800,1.0,0.8222222222222222,1.2658227848101269,0.438423645320197,0.2371134020618556,0.2191780821917808
"
                    Out of Catullus
                ",Richard Crashaw,Pre-1800,1.0,0.9230769230769232,3.3333333333333335,0.175,0.4736842105263157,0.0526315789473684
"
                    To the Infant Martyrs
                ",Richard Crashaw,Pre-1800,1.0,0.8333333333333334,2.3255813953488373,0.3333333333333333,0.1818181818181818,0.2222222222222222
"
                    Upon the Infant Martyrs
                ",Richard Crashaw,Pre-1800,1.0,1.0,0.0,0.5,0.125,0.3333333333333333
"
                    The Tear
                ",Richard Crashaw,Pre-1800,0.9090909090909092,0.8409090909090909,3.4602076124567476,0.6904761904761905,0.3255813953488372,0.1948051948051948
"
                    The Phoenix and the Turtle
                ",William Shakespeare,Pre-1800,0.9821428571428572,0.875,4.2492917847025495,0.3223140495867768,0.3703703703703703,0.1546391752577319
"
                    Sonnet 123: No, Time, thou shalt not boast that I do change
                ",William Shakespeare,Pre-1800,1.0,0.8,3.4482758620689653,0.0714285714285714,0.3043478260869565,0.1851851851851851
"
                    Sonnet 121: 'Tis better to be vile than vile esteemed
                ",William Shakespeare,Pre-1800,0.9333333333333332,0.7333333333333333,3.4782608695652173,0.0784313725490196,0.217391304347826,0.2222222222222222
"
                    Sonnet 133: Beshrew that heart that makes my heart to groan
                ",William Shakespeare,Pre-1800,1.0,0.9285714285714286,4.098360655737705,0.6363636363636364,0.375,0.2
"
                    Sonnet 139: O, call not me to justify the wrong
                ",William Shakespeare,Pre-1800,1.0,0.7857142857142857,5.833333333333333,0.5454545454545454,0.5454545454545454,0.2
"
                    Sonnet 142: Love is my sin, and thy dear virtue hate
                ",William Shakespeare,Pre-1800,1.0,0.8571428571428571,1.7094017094017095,0.1,0.1818181818181818,0.238095238095238
"
                    Sonnet 147: My love is as a fever, longing still
                ",William Shakespeare,Pre-1800,1.0,0.8571428571428571,1.8691588785046729,0.1153846153846153,0.3478260869565217,0.2
"
                    Speech: “Time hath, my lord, a wallet at his back”
                ",William Shakespeare,Pre-1800,0.9787234042553192,0.7659574468085106,4.178272980501393,0.2325581395348837,0.3888888888888889,0.0
"
                    Speech: “Tomorrow, and tomorrow, and tomorrow”
                ",William Shakespeare,Pre-1800,0.9230769230769232,0.7692307692307693,1.25,0.2,0.2222222222222222,0.0
"
                    Speech: “To be, or not to be, that is the question”
                ",William Shakespeare,Pre-1800,0.972972972972973,0.6216216216216216,1.9157088122605364,0.1735537190082644,0.1153846153846153,0.0
"
                    Speech: “All the world’s a stage”
                ",William Shakespeare,Pre-1800,0.5,0.5,0.0,0.5,0.0,0.0
"
                    Speech: “This day is called the feast of Crispian”
                ",William Shakespeare,Pre-1800,0.9655172413793104,0.7931034482758621,3.982300884955752,0.3174603174603174,0.2222222222222222,0.0
"
                    Speech: “Friends, Romans, countrymen, lend me your ears”
                ",William Shakespeare,Pre-1800,0.9736842105263158,0.9210526315789472,5.474452554744526,0.25,0.21875,0.0
"
                    Speech: “No matter where; of comfort no man speak”
                ",William Shakespeare,Pre-1800,0.9722222222222222,0.6944444444444444,4.676258992805756,0.5,0.2105263157894736,0.0
"
                    Speech: “Is this a dagger which I see before me”
                ",William Shakespeare,Pre-1800,0.9375,0.90625,2.5830258302583027,0.3010752688172043,0.392156862745098,0.0350877192982456
"
                    Speech: “The raven himself is hoarse”
                ",William Shakespeare,Pre-1800,0.9545454545454546,0.5909090909090909,0.0,0.5555555555555556,0.25,0.0
"
                    Speech: “Once more unto the breach, dear friends, once more”
                ",William Shakespeare,Pre-1800,0.967741935483871,0.8709677419354839,4.301075268817205,0.3333333333333333,0.4047619047619047,0.0
"
                    Speech: “Now is the winter of our discontent”
                ",William Shakespeare,Pre-1800,0.9772727272727272,0.6818181818181818,3.205128205128205,0.1967213114754098,0.3333333333333333,0.0123456790123456
"
                    Speech: “O Romeo, Romeo, wherefore art thou Romeo?”
                ",William Shakespeare,Pre-1800,0.9523809523809524,0.7142857142857143,1.5384615384615383,0.2608695652173913,0.1739130434782608,0.0
"
                    Speech: Bottom's Dream
                ",William Shakespeare,Pre-1800,0.9473684210526316,0.9473684210526316,0.0,0.4827586206896552,0.125,0.0
"
                    Sonnet 34: Why didst thou promise such a beauteous day
                ",William Shakespeare,Pre-1800,0.9285714285714286,0.8571428571428571,2.5,0.4545454545454545,0.375,0.2
"
                    Sonnet 125: Were’t aught to me I bore the canopy
                ",William Shakespeare,Pre-1800,1.0,0.9285714285714286,1.9230769230769231,0.21875,0.25,0.2666666666666666
"
                    Sonnet 134: So now I have confessed that he is thine
                ",William Shakespeare,Pre-1800,1.0,0.9285714285714286,4.132231404958678,0.1111111111111111,0.2592592592592592,0.28
"
                    Sonnet 12: When I do count the clock that tells the time
                ",William Shakespeare,Pre-1800,1.0,0.7142857142857143,2.5423728813559325,0.2894736842105263,0.2,0.24
"
                    Sonnet 18: Shall I compare thee to a summer’s day?
                ",William Shakespeare,Pre-1800,1.0,1.0,5.263157894736842,0.2941176470588235,0.7142857142857143,0.3333333333333333
"
                    Song: “When daisies pied and violets blue” 
",William Shakespeare,Pre-1800,0.8648648648648649,0.8918918918918919,3.431372549019608,0.6515151515151515,0.2580645161290322,0.173076923076923
"
                    Sonnet 55: Not marble nor the gilded monuments
                ",William Shakespeare,Pre-1800,0.9285714285714286,0.5714285714285714,0.9433962264150944,0.6296296296296297,0.3076923076923077,0.12
"
                    Song: “It was a lover and his lass”
                ",William Shakespeare,Pre-1800,0.8571428571428571,0.7142857142857143,2.0,0.3529411764705882,0.1,0.2857142857142857
"
                    Sonnet 141: In faith, I do not love thee with mine eyes
                ",William Shakespeare,Pre-1800,1.0,0.9285714285714286,2.5423728813559325,0.358974358974359,0.1739130434782608,0.24
"
                    Sonnet 109: O! never say that I was false of heart
                ",William Shakespeare,Pre-1800,1.0,1.0,3.4782608695652173,0.2272727272727272,0.2857142857142857,0.0869565217391304
"
                    Sonnet 138: When my love swears that she is made of truth
                ",William Shakespeare,Pre-1800,0.9375,0.875,0.8547008547008548,0.1063829787234042,0.2592592592592592,0.1724137931034483
"
                    Sonnet 104: To me, fair friend, you never can be old
                ",William Shakespeare,Pre-1800,1.0,0.9285714285714286,2.564102564102564,0.5151515151515151,0.2222222222222222,0.2222222222222222
"
                    Sonnet 57: Being your slave, what should I do but tend
                ",William Shakespeare,Pre-1800,1.0,0.6428571428571429,0.8547008547008548,0.3414634146341463,0.1818181818181818,0.2857142857142857
"
                    Sonnet 2: When forty winters shall besiege thy brow
                ",William Shakespeare,Pre-1800,1.0,0.7142857142857143,0.0,0.3142857142857143,0.25,0.24
"
                    Sonnet 20: A woman’s face with nature’s own hand painted
                ",William Shakespeare,Pre-1800,1.0,0.7857142857142857,2.6548672566371683,0.5925925925925926,0.1304347826086956,0.2666666666666666
"
                    Sonnet 40: Take all my loves, my love, yea, take them all
                ",William Shakespeare,Pre-1800,1.0,0.8571428571428571,2.479338842975207,0.1714285714285714,0.5294117647058824,0.2857142857142857
"
                    Song: “When that I was and a little tiny boy (With hey, ho, the wind and the rain)”
",William Shakespeare,Pre-1800,0.95,0.95,0.0,0.2714285714285714,0.0909090909090909,0.1212121212121212
"
                    Song: “Fear no more the heat o’ the sun” 
",William Shakespeare,Pre-1800,0.9565217391304348,0.9565217391304348,7.092198581560284,0.4615384615384615,0.0689655172413793,0.1463414634146341
"
from The Rape of Lucrece
                ",William Shakespeare,Pre-1800,1.0,0.8846153846153846,1.09717868338558,0.5058139534883721,0.2156862745098039,0.208955223880597
"
                    Sonnet 98: From you have I been absent in the spring
                ",William Shakespeare,Pre-1800,1.0,0.8571428571428571,1.694915254237288,0.3076923076923077,0.1052631578947368,0.24
"
                    Sonnet 1: From fairest creatures we desire increase
                ",William Shakespeare,Pre-1800,1.0,0.9285714285714286,0.9523809523809524,0.4571428571428571,0.4,0.1904761904761904
"
                    Sonnet 3: Look in thy glass and tell the face thou viewest
                ",William Shakespeare,Pre-1800,1.0,0.7857142857142857,0.8695652173913043,0.2857142857142857,0.4117647058823529,0.3
"
                    Sonnet 35: No more be grieved at that which thou hast done
                ",William Shakespeare,Pre-1800,1.0,0.9285714285714286,1.8867924528301887,0.3333333333333333,0.0909090909090909,0.2
"
                    Sonnet 65: Since brass, nor stone, nor earth, nor boundless sea
                ",William Shakespeare,Pre-1800,1.0,0.8571428571428571,0.0,0.5,0.5,0.2857142857142857
"
                    Sonnet 76: Why is my verse so barren of new pride
                ",William Shakespeare,Pre-1800,1.0,0.9333333333333332,0.8771929824561403,0.1956521739130435,0.6086956521739131,0.2222222222222222
"
                    Sonnet 87: Farewell! thou art too dear for my possessing
                ",William Shakespeare,Pre-1800,1.0,1.0,1.694915254237288,0.2045454545454545,0.5625,0.1904761904761904
"
                    Sonnet 126: O thou, my lovely boy, who in thy pow’r
                ",William Shakespeare,Pre-1800,1.0,1.0,1.0416666666666663,0.4210526315789473,0.2777777777777778,0.2
"
                    Sonnet 135: Whoever hath her wish, thou hast thy Will
",William Shakespeare,Pre-1800,1.0,1.0,2.586206896551724,0.2333333333333333,0.4375,0.25
"
                    Sonnet 144: Two loves I have of comfort and despair
                ",William Shakespeare,Pre-1800,1.0,1.0,0.0,0.2702702702702703,0.3333333333333333,0.1904761904761904
"
                    Song: “Blow, blow, thou winter wind”
                ",William Shakespeare,Pre-1800,1.0,0.9,5.660377358490567,0.4736842105263157,1.1,0.4615384615384615
"
                    Song: “Sigh no more, ladies, sigh no more”
",William Shakespeare,Pre-1800,0.9444444444444444,0.6666666666666666,0.0,0.2777777777777778,1.1333333333333333,0.1851851851851851
"
                    Song: “Come away, come away, death” 
",William Shakespeare,Pre-1800,0.9411764705882352,0.8235294117647058,0.9803921568627452,0.8947368421052632,0.7647058823529411,0.1851851851851851
"
                    Song: “Where the bee sucks, there suck I”
",William Shakespeare,Pre-1800,0.875,0.625,4.25531914893617,0.5714285714285714,0.5555555555555556,0.4615384615384615
"
                    Song: “Who is Silvia? what is she”
",William Shakespeare,Pre-1800,0.9375,0.8125,4.444444444444445,0.1351351351351351,0.1304347826086956,0.2413793103448276
"
                    Song of the Witches: “Double, double toil and trouble”
                ",William Shakespeare,Pre-1800,0.9333333333333332,0.9333333333333332,3.658536585365854,1.1111111111111112,0.3333333333333333,0.2222222222222222
"
                    Sonnet 15: When I consider everything that grows
                ",William Shakespeare,Pre-1800,1.0,0.7333333333333333,2.727272727272727,0.303030303030303,0.1818181818181818,0.2222222222222222
"
                    Sonnet 19: Devouring Time, blunt thou the lion's paws
                ",William Shakespeare,Pre-1800,1.0,0.8666666666666667,3.4782608695652173,0.4375,0.1666666666666666,0.1851851851851851
"
                    Sonnet 25: Let those who are in favour with their stars
                ",William Shakespeare,Pre-1800,1.0,0.7857142857142857,0.9259259259259258,0.2368421052631578,0.375,0.2222222222222222
"
                    Sonnet 29: When, in disgrace with fortune and men’s eyes
                ",William Shakespeare,Pre-1800,0.9285714285714286,0.8571428571428571,1.7543859649122806,0.2777777777777778,0.4375,0.24
"
                    Sonnet 30: When to the sessions of sweet silent thought
                ",William Shakespeare,Pre-1800,1.0,0.9230769230769232,1.7241379310344829,0.15,0.375,0.1578947368421052
"
                    Sonnet 32: If thou survive my well-contented day
                ",William Shakespeare,Pre-1800,0.9285714285714286,0.7857142857142857,1.7543859649122806,0.2105263157894736,0.4,0.2352941176470588
"
                    Sonnet 33: Full many a glorious morning have I seen
                ",William Shakespeare,Pre-1800,1.0,0.7142857142857143,3.7037037037037033,0.5161290322580645,0.25,0.238095238095238
"
                    Sonnet 53: What is your substance, whereof are you made
                ",William Shakespeare,Pre-1800,1.0,0.9285714285714286,2.803738317757009,0.5,0.0769230769230769,0.24
"
                    Sonnet 60: Like as the waves make towards the pebbl'd shore
                ",William Shakespeare,Pre-1800,1.0,0.9285714285714286,1.8518518518518516,0.2777777777777778,0.2352941176470588,0.238095238095238
"
                    Sonnet 64: When I have seen by Time's fell hand defac'd
                ",William Shakespeare,Pre-1800,1.0,0.7142857142857143,3.571428571428571,0.2325581395348837,0.1739130434782608,0.25
"
                    Sonnet 66: Tir'd with all these, for restful death I cry
                ",William Shakespeare,Pre-1800,1.0,1.0,0.0,0.2285714285714285,0.3157894736842105,0.1333333333333333
"
                    Sonnet 71: No longer mourn for me when I am dead
                ",William Shakespeare,Pre-1800,1.0,0.7142857142857143,1.6260162601626018,0.4390243902439024,0.4166666666666667,0.24
"
                    Sonnet 73: That time of year thou mayst in me behold
                ",William Shakespeare,Pre-1800,1.0,0.7142857142857143,0.0,0.358974358974359,0.375,0.28
"
                    Sonnet 94: They that have power to hurt and will do none
                ",William Shakespeare,Pre-1800,1.0,0.8571428571428571,3.7735849056603774,0.2105263157894736,0.238095238095238,0.16
"
                    Sonnet 97: How like a winter hath my absence been
                ",William Shakespeare,Pre-1800,1.0,0.7857142857142857,2.803738317757009,0.1538461538461538,0.25,0.2
"
                    Sonnet 106: When in the chronicle of wasted time
                ",William Shakespeare,Pre-1800,1.0,0.8333333333333334,1.818181818181818,0.3414634146341463,0.4615384615384615,0.1333333333333333
"
                    Sonnet 107: Not mine own fears, nor the prophetic soul
                ",William Shakespeare,Pre-1800,1.0,0.7857142857142857,1.7699115044247788,0.1860465116279069,0.3125,0.0555555555555555
"
                    Sonnet 110: Alas, 'tis true I have gone here and there
                ",William Shakespeare,Pre-1800,1.0,0.8571428571428571,0.847457627118644,0.075,0.4347826086956521,0.1428571428571428
"
                    Sonnet 111: O, for my sake do you with Fortune chide,
                ",William Shakespeare,Pre-1800,1.0,0.9166666666666666,1.818181818181818,0.1707317073170731,0.5,0.2142857142857142
"
                    Sonnet 116: Let me not to the marriage of true minds
                ",William Shakespeare,Pre-1800,1.0,0.9166666666666666,1.834862385321101,0.2682926829268293,0.3636363636363636,0.1176470588235294
"
                    Sonnet 129: Th'expense of spirit in a waste of shame
                ",William Shakespeare,Pre-1800,1.0,0.8181818181818182,6.363636363636363,0.1282051282051282,0.2941176470588235,0.2105263157894736
"
                    Sonnet 130: My mistress' eyes are nothing like the sun
                ",William Shakespeare,Pre-1800,0.9285714285714286,0.8571428571428571,4.878048780487805,0.4324324324324324,0.5714285714285714,0.16
"
                    Sonnet 146: Poor soul, the centre of my sinful earth,
                ",William Shakespeare,Pre-1800,1.0,0.9333333333333332,1.7857142857142856,0.4285714285714285,0.5,0.1481481481481481
"
Song: “Full fathom five thy father lies” 
",William Shakespeare,Pre-1800,0.5,0.5,11.11111111111111,0.3333333333333333,0.0,0.0
"
                    Song: “Hark, hark! the lark at heaven's gate sings”
",William Shakespeare,Pre-1800,0.9,0.7,6.382978723404255,0.5833333333333334,0.0,0.2666666666666666
"
                    Song: “O Mistress mine where are you roaming?”
",William Shakespeare,Pre-1800,0.9230769230769232,0.9230769230769232,2.5974025974025974,0.5238095238095238,0.2941176470588235,0.1304347826086956
"
                    Song: “Orpheus with his lute made trees”
",William Shakespeare,Pre-1800,0.9,0.9,2.666666666666667,0.48,0.2,0.2
"
                    Song: “Take, oh take those lips away”
                ",William Shakespeare,Pre-1800,0.8571428571428571,0.8571428571428571,4.444444444444445,0.0588235294117647,0.5,0.2727272727272727
